group,type,specimen,strain,stress
F0,flat,3,11.60355,0.05225205
F0,flat,P1,0.01981539,0.01878077
F0,flat,P1,0.08367692,0.03735269
F0,flat,P1,0.1484462,0.05681372
F0,flat,P1,0.2128769,0.07673564
F0,flat,P1,0.2766615,0.09632923
F0,flat,P1,0.3404462,0.1154864
F0,flat,P1,0.4052154,0.1342179
F0,flat,P1,0.4693077,0.1528991
F0,flat,P1,0.5332769,0.1713678
F0,flat,P1,0.5968615,0.1895945
F0,flat,P1,0.6609846,0.2075156
F0,flat,P1,0.7258,0.2251622
F0,flat,P1,0.7897692,0.2428174
F0,flat,P1,0.8537846,0.260234
F0,flat,P1,0.9171846,0.2773697
F0,flat,P1,0.9816154,0.2942691
F0,flat,P1,1.046277,0.3111555
F0,flat,P1,1.110369,0.3279355
F0,flat,P1,1.174262,0.3445233
F0,flat,P1,1.237723,0.3609696
F0,flat,P1,1.302431,0.3770328
F0,flat,P1,1.366754,0.3929974
F0,flat,P1,1.430954,0.4087705
F0,flat,P1,1.494492,0.4242214
F0,flat,P1,1.558323,0.4395422
F0,flat,P1,1.623215,0.4546759
F0,flat,P1,1.687338,0.4698066
F0,flat,P1,1.751385,0.4847344
F0,flat,P1,1.814969,0.4992571
F0,flat,P1,1.878862,0.5134518
F0,flat,P1,1.943523,0.5274402
F0,flat,P1,2.007462,0.5413321
F0,flat,P1,2.071661,0.5548444
F0,flat,P1,2.135139,0.5678622
F0,flat,P1,2.199292,0.5803032
F0,flat,P1,2.264308,0.5926332
F0,flat,P1,2.328354,0.6054071
F0,flat,P1,2.392169,0.6182878
F0,flat,P1,2.4556,0.6309141
F0,flat,P1,2.520231,0.6431401
F0,flat,P1,2.584892,0.6552741
F0,flat,P1,2.649061,0.6674513
F0,flat,P1,2.712677,0.6795782
F0,flat,P1,2.776077,0.691592
F0,flat,P1,2.840892,0.7033737
F0,flat,P1,2.905216,0.7152345
F0,flat,P1,2.969338,0.7269807
F0,flat,P1,3.033,0.7383678
F0,flat,P1,3.096815,0.7495824
F0,flat,P1,3.161754,0.7605837
F0,flat,P1,3.225754,0.7714605
F0,flat,P1,3.289846,0.7815858
F0,flat,P1,3.353277,0.791889
F0,flat,P1,3.4174,0.8024555
F0,flat,P1,3.482185,0.8129324
F0,flat,P1,3.546108,0.8234131
F0,flat,P1,3.610308,0.8336713
F0,flat,P1,3.673708,0.8438732
F0,flat,P1,3.738062,0.8538977
F0,flat,P1,3.802846,0.8638788
F0,flat,P1,3.866693,0.8739441
F0,flat,P1,3.930677,0.8839964
F0,flat,P1,3.994215,0.8940187
F0,flat,P1,4.0588,0.9038754
F0,flat,P1,4.123308,0.9137585
F0,flat,P1,4.1874,0.92369
F0,flat,P1,4.251108,0.9335243
F0,flat,P1,4.314692,0.9430485
F0,flat,P1,4.379477,0.9521928
F0,flat,P1,4.443707,0.9616228
F0,flat,P1,4.507754,0.9711133
F0,flat,P1,4.571308,0.980501
F0,flat,P1,4.635277,0.9897854
F0,flat,P1,4.700246,0.9989766
F0,flat,P1,4.764061,1.008258
F0,flat,P1,4.828415,1.017531
F0,flat,P1,4.891861,1.026699
F0,flat,P1,4.955831,1.035638
F0,flat,P1,5.020677,1.044566
F0,flat,P1,5.084462,1.053603
F0,flat,P1,5.148708,1.062506
F0,flat,P1,5.212215,1.070232
F0,flat,P1,5.276677,1.077443
F0,flat,P1,5.341339,1.085847
F0,flat,P1,5.405323,1.094304
F0,flat,P1,5.469215,1.102627
F0,flat,P1,5.532723,1.110882
F0,flat,P1,5.597308,1.119038
F0,flat,P1,5.661846,1.127186
F0,flat,P1,5.725985,1.135159
F0,flat,P1,5.789569,1.143073
F0,flat,P1,5.853185,1.147199
F0,flat,P1,5.918092,1.145572
F0,flat,P1,5.981985,1.149879
F0,flat,P1,0.01943077,0.01910923
F0,flat,P1,0.0814,0.03745538
F0,flat,P1,0.1460615,0.05645564
F0,flat,P1,0.2098,0.07609308
F0,flat,P1,0.274,0.09543564
F0,flat,P1,0.3388154,0.1142929
F0,flat,P1,0.4029077,0.1331123
F0,flat,P1,0.4668,0.1517569
F0,flat,P1,0.5302769,0.1700312
F0,flat,P1,0.5947846,0.1879729
F0,flat,P1,0.6591846,0.2058244
F0,flat,P1,0.7233077,0.223615
F0,flat,P1,0.7868924,0.2411955
F0,flat,P1,0.8505539,0.2584144
F0,flat,P1,0.9154923,0.2752103
